#{"t_start": 1781113351.5034025, "env_id": "None"}
r,l,t
161.832403,62,130.202316
85.679445,45,130.364498
92.463665,48,130.539092
154.806099,61,130.758429
97.039011,48,130.935122
153.16624,62,131.156561
128.310827,55,131.351424
130.668779,56,131.553676
68.774488,42,131.700412
141.958516,58,131.916365
111.664754,52,132.098023
131.008718,56,132.296109
216.076021,74,132.558743
134.297336,57,132.761275
188.543156,69,133.014189
159.452989,63,133.241484
152.452578,61,133.455154
140.764961,58,133.661004
94.224047,47,133.829054
111.343047,52,134.015777
166.96079,64,134.250248
150.327265,59,134.460428
161.623529,63,134.684242
157.507898,61,134.90286
167.356054,64,135.146534
139.845285,57,135.355624
107.822834,50,135.536882
101.09823,49,135.7117
105.989897,51,135.893048
126.40974,57,136.099006
189.562183,69,136.342074
222.005749,77,136.615092
140.562806,58,137.24606
117.253675,53,137.478469
114.144352,51,137.665973
143.425924,59,137.883575
216.236374,75,138.162534
111.48917,51,138.349761
168.882637,65,138.584337
106.82202,50,138.761817
95.352232,48,138.935067
182.901376,69,139.180782
171.018211,65,139.412028
145.934334,59,139.626014
128.537576,54,139.823106
163.099307,63,140.051876
140.322242,58,140.257982
127.349564,55,140.453978
111.331041,51,140.634711
108.623429,51,140.814249
87.106585,45,140.982648
156.41974,62,141.207661
139.915722,58,141.421304
200.200196,71,141.671376
119.0974,53,141.859717
179.715387,67,142.101622
121.739499,54,142.295372
125.272698,55,142.494295
139.165227,57,142.699371
140.474832,58,142.902999
109.16415,52,143.095919
155.696671,62,143.316777
197.79951,71,143.578791
150.572645,60,143.794589
122.817943,54,143.987694
111.665579,51,144.169093
124.677273,54,144.36104
106.118087,50,144.542636
152.109361,61,145.203229
303.855266,96,145.560303
132.810079,56,145.77003
103.754,49,145.942649
155.408521,62,146.174634
132.546227,56,146.381027
183.394,69,146.632677
98.979166,48,146.804975
153.049925,61,147.026306
108.941187,52,147.207622
125.38441,55,147.434918
95.955127,47,147.607858
128.014635,55,147.804645
185.447046,68,148.051825
148.500858,61,148.271748
133.276846,56,148.478206
115.136728,52,148.675153
213.221357,74,148.943514
95.541666,48,149.120056
222.969162,77,149.39643
112.056874,52,149.583425
176.266819,67,149.822388
106.592825,50,150.001475
115.351904,52,150.184052
165.356941,63,150.411145
143.19172,59,150.630259
203.447753,72,150.891132
96.235576,49,151.072347
230.412059,78,151.351998
109.349758,51,151.538575
257.13664,84,151.836771
133.65062,56,152.038524
105.00872,49,152.218176
151.880257,61,152.438768
135.117233,57,153.039937
142.844008,59,153.265381
146.550788,60,153.486299
141.359578,58,153.70243
132.280023,57,153.911607
134.559729,58,154.12545
133.393341,56,154.328853
106.035166,50,154.512753
163.778173,64,154.747214
164.490807,64,154.979212
99.749568,49,155.156658
149.26951,61,155.375378
163.625276,63,155.606202
86.426493,46,155.76913
224.069833,78,156.058867
128.517753,55,156.262161
183.142717,68,156.503387
105.296411,50,156.681914
119.742466,53,156.869332
105.602297,50,157.051011
172.261276,66,157.288472
94.799975,47,157.460642
165.680429,64,157.695081
149.168229,59,157.907888
99.323112,48,158.083173
151.18147,60,158.294177
190.504008,70,158.543422
187.34825,68,158.791121
205.74838,73,159.055538
127.523259,55,159.256053
121.892354,52,159.438196
153.077343,61,159.66315
145.415232,58,159.871575
185.447369,68,160.115628
191.606205,70,160.738206
160.177397,63,161.026926
106.838127,50,161.219851
122.334244,53,161.414175
172.150203,64,161.650509
105.173091,50,161.837411
223.470447,80,162.129374
